X	Y	Area	MinI	MaxI	MeanI
413 	404 	2.0 	111.0 	121.0 	116.0
488 	383 	0.5 	112.0 	114.0 	113.0
481 	350 	39.0 	115.0 	179.0 	152.392156863
363 	346 	68.0 	111.0 	181.0 	151.626506024
209 	335 	23.5 	113.0 	174.0 	147.060606061
481 	329 	37.5 	111.0 	180.0 	141.755102041
364 	321 	129.0 	111.0 	180.0 	156.693333333
242 	315 	11.0 	111.0 	136.0 	125.222222222
602 	315 	25.5 	111.0 	155.0 	132.805555556
479 	313 	124.0 	111.0 	179.0 	139.527027027
599 	302 	3.0 	114.0 	127.0 	121.428571429
268 	303 	37.0 	111.0 	178.0 	134.058823529
80 	297 	1.5 	112.0 	117.0 	113.8
485 	297 	21.5 	111.0 	174.0 	143.375
268 	291 	2.0 	111.0 	126.0 	119.0
361 	294 	70.0 	111.0 	179.0 	153.623529412
540 	292 	39.0 	111.0 	177.0 	143.24
81 	285 	2.0 	111.0 	117.0 	113.833333333
468 	285 	19.5 	114.0 	182.0 	152.344827586
483 	284 	13.0 	112.0 	158.0 	132.5
300 	281 	29.5 	113.0 	176.0 	150.225
482 	274 	24.5 	112.0 	179.0 	145.0
539 	273 	23.0 	113.0 	173.0 	142.75
371 	263 	58.5 	111.0 	180.0 	152.506849315
86 	253 	2.5 	111.0 	122.0 	115.0
